MissionID,TypeID,SubtypeID,FR,EN
0,0,0,"Aidez-nous, l'air est devenu irrespirable. Nos habitants tombent comme des mouches !","Help us, we can't breath here. People are dying the ones after the others !"
1,0,0,Les bâtiments fondent à vue d'œil. On ne comprend pas d'où sa peut venir… Dépêchez vous !,Buildings are collapsing in the blink of an eye. We don't get what is the cause... Please hurry.
2,0,0,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
3,0,0,Tout le monde à froid. Vous attendez quoi pour nous aider !,Everybody's cold here. What are you waiting for to provide help?
4,0,1,"Aidez-nous, l'air est devenu irrespirable. Nos habitants tombent comme des mouches !","Help us, we can't breath here. People are dying the ones after the others !"
5,0,1,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
6,0,2,"Aidez-nous, l'air est devenu irrespirable. Nos habitants tombent comme des mouches !","Help us, we can't breath here. People are dying the ones after the others !"
7,0,2,Les bâtiments fondent à vue d'œil. On ne comprend pas d'où sa peut venir… Dépêchez vous !,Buildings are collapsing in the blink of an eye. We don't get what is the cause... Please hurry.
8,0,2,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
9,0,2,"ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
Votre correspondant n'est plus disponible.","ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
You lost connection with this planet."
10,1,3,Nous avons repéré des nuisibles dans nos rues et aurions besoin de votre aide.,We have spotted pests in our street. We need your help.
11,1,3,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
12,1,3,"ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
Votre correspondant n'est plus disponible.","ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
You lost connection with this planet."
13,1,3,"Au secours, des moutons enragés prennent d'assaut la ville. On va tous mourir !","Please send help, rabid sheeps took over the city! We're all gonna die!"
14,1,3,REBELLION ! DESTRUCTION ! MORT AUX CORPORATS !,REBELLION! DESTRUCTION! DEATH TO THE CORPORATES!
15,1,4,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
16,1,4,Des coupures électriques se produisent partout dans la colonie. C'est inadmissible !,"Electrical blackouts are happening everywhere in the colony, it is unacceptable!"
17,1,4,"ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
Votre correspondant n'est plus disponible.","ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
You lost connection with this planet."
18,1,4,D'étranges disparitions se produisent dans la colonie. Qu'allons nous devenir...,Mysterious disappearances are happening in the colony. What will we become?..
19,1,5,Nous avons repéré des nuisibles dans nos rues et aurions besoin de votre aide.,We have spotted pests in our street. We need your help.
20,1,5,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
21,1,5,"ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
Votre correspondant n'est plus disponible.","ARghah ₱̻͚́͊ͭ͝ꓵ̣̹͍͎ͤ͝Მ̜͎̜̋̂̃ᴉ͆̚̕Ʉ̶̺̱̏ͬͭ͆͒͆Đ̩̻̝₳́₩ⱭϜʁᴉӾӾ_.... 
You lost connection with this planet."
22,1,5,REBELLION ! DESTRUCTION ! MORT AUX CORPORATS !,REBELLION! DESTRUCTION! DEATH TO THE CORPORATES!
23,2,6,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
24,2,6,Tout le monde à froid. Vous attendez quoi pour nous aider !,Everybody's cold here. What are you waiting for to provide help?
25,2,7,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
26,2,7,Des coupures électriques se produisent partout dans la colonie. C'est inadmissible !,"Electrical blackouts are happening everywhere in the colony, it is unacceptable!"
27,2,7,Tout le monde à froid. Vous attendez quoi pour nous aider !,Everybody's cold here. What are you waiting for to provide help?
28,2,8,On y comprend rien mais ça va pas du tout...,"We don't get what's going on here, but everything's wrong..."
29,2,8,D'étranges disparitions se produisent dans la colonie. Qu'allons nous devenir...,Mysterious disappearances are happening in the colony. What will we become?..
30,2,8,REBELLION ! DESTRUCTION ! MORT AUX CORPORATS !,REBELLION! DESTRUCTION! DEATH TO THE CORPORATES!
